Type,Word,wiki_cat,dot_obj,RP Class,Sentence,Annotator1,Annotator2,is_consistent
ORG,哈佛,university,organization*location*human,organization,可惜他家境不太好，最近為了<哈佛>學費努力爭取全額獎學金。,organization,organization,True
ORG,解放軍,military unit,organization*human,organization,並大讚<解放軍>的軍力並沒有受到疫情影響,organization,organization,True
GPE,瑞典,human-geographic territorial entity,location*organization,organization,鄉民都知道諾貝爾獎是<瑞典>化學家諾貝爾的遺願，,organization,organization,True
GPE,義大利,human-geographic territorial entity,location*organization,organization,義大利的醫護設施不足及政府人民對此次瘟疫的輕忽讓<義大利>人民承受經歷戰爭般的損失與痛苦.,organization,location,False
WORK_OF_ART,壹週刊,mass media,organization*information*physical*human,information,妳老公在<壹週刊>說當臺大醫院不想回家 妳,information,organization,False
ORG,中華航空,business,producer*product*location,product,第二批武漢包機分別由<中華航空>運載169人、東方航空運載192人，於10日晚間及11日凌晨抵台，發燒或具嚴重呼吸道症狀者無法上機，下機後無人需後送，行李也統一消毒處理。,product,product,True
ORG,高鐵,business,producer*product*location,producer,台鐵與高鐵將於6月1日起，開放旅客在保持社交距離的前提下，可於列車上飲食，用餐後須將口罩戴回，不過<高鐵>仍未開放自由座及站票，造成議論。對此，陳時中表示，若高鐵開放站票及自由座，列車空間將變擁擠，「兩人站在一起距離很近又在吃飯，就會是一個問題」。交通部近期在設定交通運輸的開放條件時，考量每日疫情變化較為恰當，而非純粹以「時間點」作為參考。,producer,producer,True
GPE,台中市,human-geographic territorial entity,location*organization,organization,北市議員游淑慧、<台中市>議員黃健豪擔任革命實踐研究院副院長，而大陸事務部主任確定,organization,organization,True
ORG,中山大學,university,organization*location*human,organization,國民黨高雄市長補選人李眉蓁爆出「論文抄襲案」，周刊爆料李眉蓁在<中山大學>碩士論文,organization,organization,True
GPE,英國,human-geographic territorial entity,location*organization,organization,她表示，在這次危機之前，英國政府原本以為中國對西方世界的任何威脅都在控制當中，因此允許華為投入英國的5G建設。這項決定受到美國、澳洲和部分英國國會議員強烈反對，認為將危害<英國>的國家安全，受國家掌控的華為會藉此把中國監視設備，植入全球通訊系統當中。,organization,organization,True
GPE,澳門,human-geographic territorial entity,location*organization,organization,，明定香港與<澳門>居民得向我國申請政治庇護之資格條件，且相關申請程序規範準用難民,organization,location,False
ORG,華爾街日報,mass media,organization*information*physical*human,organization,《<華爾街日報>》報導，和平計畫包含許多以色列希望達到的目標，在以國總理尼坦雅胡尋求內閣批准後，最快週末就會有所進展，外界預期這份和平計畫會被川普與尼坦雅胡視為重大政績與連任籌碼。但巴勒斯坦自治政府主席阿巴斯駁斥這份計畫，強調耶路撒冷是「非賣品」，這份協議「過不了巴勒斯坦人這關」。,organization,organization,True
GPE,台北市,human-geographic territorial entity,location*organization,organization,(頂多就<台北市>很努力讓商家可以接受悠遊卡),organization,organization,True
ORG,家樂福,business,producer*product*location,producer,自己買<家樂福>線上購物就好了幹嘛用熊貓,producer,producer,True
ORG,蘋果,business,producer*product*location,producer,消息人士透露，此案被蘋果與台灣相關單位列為高度機密，<蘋果>並跨海派出跨部門研發人,producer,producer,True
WORK_OF_ART,金曲獎,award,physical*event*human,event,獲得第廿五屆<金曲獎>最佳客語專輯與最佳客語演唱人兩項大獎。,event,physical,False
ORG,中原大學,university,organization*location*human,organization,八卦板是支持中華民國的教授還是<中原大學>？,organization,organization,True
PRODUCT,特斯拉,business,producer*product*location,product,要是以後都換電動車<特斯拉>就沒這種聲音了怎麼辦~~~,product,product,True
ORG,大潤發,business,producer*product*location,producer,去全聯或是<大潤發>還是家樂福買個麵條、蛋、高湯罐、豆芽菜、青江菜,producer,location,False
